country;date;cases
china;17.01.2020;45
china;18.01.2020;62
china;19.01.2020;121
china;20.01.2020;198
china;21.01.2020;291
china;22.01.2020;440
china;23.01.2020;580
china;24.01.2020;845
china;25.01.2020;1317
china;26.01.2020;2015
china;27.01.2020;2800
china;28.01.2020;4581
china;29.01.2020;6058
china;30.01.2020;7813
china;31.01.2020;9821
china;01.02.2020;11948
china;02.02.2020;14551
china;03.02.2020;17389
china;04.02.2020;20628
china;05.02.2020;24553
china;06.02.2020;28276
china;07.02.2020;31439
china;08.02.2020;34876
china;09.02.2020;37552
china;10.02.2020;40553
china;11.02.2020;43099
china;12.02.2020;44919
china;13.02.2020;60326
china;14.02.2020;64437
china;15.02.2020;67100
china;16.02.2020;69197
china;17.02.2020;71329
china;18.02.2020;73332
china;19.02.2020;75198
china;20.02.2020;75700
china;21.02.2020;76676
china;22.02.2020;77673
china;23.02.2020;78651
china;24.02.2020;79400
china;25.02.2020;80088
